ID,Grupo,Rain,Traffic,Road,Speed,Delay,Justificativa,Implementada
A01,A,heavy,high,,,very_late,,TRUE
A02,A,heavy,,,slow,very_late,,TRUE
A03,A,moderate,medium,,,late,,TRUE
A04,A,light,low,,,on_time,,TRUE
A05,A,none,low,,fast,early,,TRUE
A06,A,none,very_low,,very_fast,very_early,,TRUE
B01,B,,very_high,,,very_late,,TRUE
B02,B,,high,,slow,late,,TRUE
B03,B,,medium,average,normal,on_time,,TRUE
B04,B,,low,good,fast,early,,TRUE
B05,B,,very_low,excellent,very_fast,very_early,,TRUE
B06,B,,medium,poor,normal,late,,TRUE
B07,B,,low,excellent,fast,early,,TRUE
B08,B,,very_high,very_poor,slow,very_late,,TRUE
C01,C,,,excellent,very_fast,very_early,,TRUE
C02,C,,low,good,fast,early,,TRUE
C03,C,,medium,average,normal,on_time,,TRUE
C04,C,,medium,poor,slow,late,,TRUE
C05,C,,high,very_poor,very_slow,very_late,,TRUE
C06,C,light,low,excellent,normal,on_time,,TRUE
C07,C,heavy,high,very_poor,slow,very_late,,TRUE
D01,D,,very_low,excellent,very_fast,very_early,,TRUE
D02,D,,low,good,fast,early,,TRUE
D03,D,,low,average,normal,on_time,,TRUE
D04,D,light,low,good,fast,on_time,,TRUE
D05,D,light,very_low,excellent,very_fast,early,,TRUE
E01,E,moderate,medium,average,normal,late,,TRUE
E02,E,light,medium,good,normal,on_time,,TRUE
E03,E,moderate,low,average,normal,on_time,,TRUE
E04,E,,medium,average,normal,on_time,,TRUE
E05,E,light,medium,poor,slow,late,,TRUE
F01,F,heavy,high,poor,slow,very_late,,TRUE
F02,F,heavy,very_high,very_poor,very_slow,very_late,,TRUE
F03,F,moderate,high,poor,slow,late,,TRUE
F04,F,heavy,medium,average,slow,late,,TRUE
F05,F,heavy,high,average,normal,late,,TRUE
G01,G,,very_high,excellent,very_slow,late,,TRUE
G02,G,heavy,very_low,excellent,fast,late,,TRUE
G03,G,,very_high,poor,very_slow,very_late,,TRUE
G04,G,moderate,very_high,average,slow,very_late,,TRUE
G05,G,light,high,excellent,fast,on_time,,TRUE
H01,H,,very_low,average,normal,on_time,,TRUE
H02,H,,low,average,normal,on_time,,TRUE
H03,H,,medium,average,normal,late,,TRUE
H04,H,,high,average,slow,late,,TRUE
H05,H,,very_high,average,very_slow,very_late,,TRUE
H06,H,light,low,average,normal,on_time,,TRUE
H07,H,moderate,medium,average,slow,late,,TRUE
H08,H,heavy,high,average,slow,very_late,,TRUE
I01,I,heavy,very_low,excellent,very_fast,on_time,,TRUE
I02,I,,high,excellent,very_fast,early,,TRUE
I03,I,light,medium,excellent,fast,on_time,,TRUE
I04,I,moderate,low,good,fast,early,,TRUE
I05,I,,medium,excellent,very_fast,early,,TRUE
J01,J,,very_high,excellent,fast,late,,TRUE
J02,J,,low,very_poor,normal,late,,TRUE
J03,J,light,low,very_poor,slow,late,,TRUE
J04,J,heavy,very_low,excellent,normal,late,,TRUE
J05,J,,medium,poor,very_slow,late,,TRUE
